year,doy,plot,avg_ndvi,time
2014,185,CT,0.632947796,half
2014,185,F2,0.690829907,half
2014,185,F5,0.670113572,half
2014,185,F10,0.678318692,half
2015,176,CT,0.67806981,half
2015,176,F2,0.678165581,half
2015,180,F5,0.735451947,half
2015,176,F10,0.622705311,half
2016,175,CT,0.597993249,half
2016,175,F2,0.618681521,half
2016,170,F5,0.602658672,half
2016,175,F10,0.566722,half
2017,185,CT,0.655849218,half
2017,177,F2,0.6480399,half
2017,185,F5,0.695082184,half
2017,177,F10,0.660048691,half
2018,194,CT,0.70296531,half
2018,194,F2,0.734537171,half
2018,194,F5,0.720877617,half
2018,194,F10,0.733293977,half
2014,159,CT,0.494746744,initial
2014,159,F2,0.551430133,initial
2014,159,F5,0.486971241,initial
2014,159,F10,0.387002024,initial
2015,159,CT,0.48425574,initial
2015,169,F2,0.628968001,initial
2015,169,F5,0.643785407,initial
2015,159,F10,0.46790037,initial 
2016,147,CT,0.526624737,initial 
2016,147,F2,0.515280714,initial 
2016,147,F5,0.517941341,initial 
2016,147,F10,0.397847009,initial 
2017,159,CT,0.483034083,initial 
2017,159,F2,0.525929179,initial 
2017,159,F5,0.487557089,initial 
2017,159,F10,0.360001295,initial 
2018,173,CT,0.517472,initial 
2018,173,F2,0.582032878,initial 
2018,173,F5,0.542795023,initial 
2018,173,F10,0.460903372,initial 
2014,209,CT,0.68517818,peak
2014,209,F2,0.740274204,peak
2014,209,F5,0.744702202,peak
2014,209,F10,0.747466942,peak
2015,191,CT,0.720489853,peak
2015,185,F2,0.725148964,peak
2015,191,F5,0.768000039,peak
2015,191,F10,0.711603225,peak
2016,203,CT,0.712506975,peak
2016,203,F2,0.730345336,peak
2016,195,F5,0.772868982,peak
2016,203,F10,0.771029938,peak
2017,208,CT,0.716917683,peak
2017,202,F2,0.743295888,peak
2017,208,F5,0.751041607,peak
2017,202,F10,0.790918376,peak
2018,223,CT,0.753123307,peak
2018,211,F2,0.784653366,peak
2018,211,F5,0.779514647,peak
2018,211,F10,0.79625688,peak
2014,225,CT,0.643482539,post-peak
2014,225,F2,0.675784226,post-peak
2014,225,F5,0.686283477,post-peak
2014,225,F10,0.672169304,post-peak
2015,202,CT,0.71181702,post-peak
2015,202,F2,0.704341205,post-peak
2015,202,F5,0.753998992,post-peak
2015,202,F10,0.688335792,post-peak
2016,214,CT,0.711011909,post-peak
2016,214,F2,0.724582435,post-peak
2016,208,F5,0.765828512,post-peak
2016,214,F10,0.733363027,post-peak
2017,222,CT,0.712989586,post-peak
2017,222,F2,0.742598772,post-peak
2017,222,F5,0.728863385,post-peak
2017,222,F10,0.737809902,post-peak
2018,223,F2,0.78274551,post-peak
2018,223,F5,0.777492338,post-peak
2018,223,F10,0.777312054,post-peak
2014,168,CT,0.549658926,drop
2014,172,CT,0.577056738,drop
2014,174,CT,0.55823048,drop
2014,176,CT,0.586462325,drop
2014,179,CT,0.600342857,drop
2014,182,CT,0.600045393,drop
2014,191,CT,0.670113572,drop
2014,196,CT,0.657441804,drop
2014,216,CT,0.647207636,drop
2014,220,CT,0.658447905,drop
2014,168,F2,0.575856699,drop
2014,172,F2,0.651743727,drop
2014,174,F2,0.543615175,drop
2014,176,F2,0.636565032,drop
2014,179,F2,0.659159634,drop
2014,182,F2,0.668560105,drop
2014,191,F2,0.715483131,drop
2014,196,F2,0.73278046,drop
2014,216,F2,0.708247686,drop
2014,220,F2,0.707810976,drop
2014,168,F5,0.543031798,drop
2014,172,F5,0.575317754,drop
2014,174,F5,0.586171101,drop
2014,176,F5,0.610565815,drop
2014,179,F5,0.631704054,drop
2014,182,F5,0.640257541,drop
2014,191,F5,0.721934957,drop
2014,196,F5,0.740867809,drop
2014,216,F5,0.71982552,drop
2014,220,F5,0.704802934,drop
2014,168,F10,0.444062781,drop
2014,172,F10,0.473517029,drop
2014,174,F10,0.490713059,drop
2014,176,F10,0.555187681,drop
2014,179,F10,0.574845395,drop
2014,182,F10,0.62298574,drop
2014,191,F10,0.730911113,drop
2014,196,F10,0.743268905,drop
2014,216,F10,0.711558262,drop
2014,220,F10,0.689875332,drop
2015,166,CT,0.586849638,drop
2015,169,CT,0.598355487,drop
2015,173,CT,0.648859206,drop
2015,180,CT,0.66346686,drop
2015,185,CT,0.712276611,drop
2015,224,CT,0.666493456,drop
2015,173,F2,0.65420634,drop
2015,180,F2,0.653223738,drop
2015,191,F2,0.709140516,drop
2015,224,F2,0.681852105,drop
2015,173,F5,0.683732959,drop
2015,176,F5,0.722262456,drop
2015,185,F5,0.764130528,drop
2015,224,F5,0.682456455,drop
2015,166,F10,0.516668056,drop
2015,169,F10,0.560589208,drop
2015,173,F10,0.632596139,drop
2015,180,F10,0.643298381,drop
2015,185,F10,0.689174537,drop
2015,224,F10,0.638132932,drop
2016,170,CT,0.559878829,drop
2016,180,CT,0.642569499,drop
2016,184,CT,0.668720837,drop
2016,190,CT,0.703425556,drop
2016,195,CT,0.709522741,drop
2016,208,CT,0.708208416,drop
2016,170,F2,0.59063141,drop
2016,180,F2,0.652329078,drop
2016,184,F2,0.69876524,drop
2016,190,F2,0.721197894,drop
2016,195,F2,0.727471956,drop
2016,208,F2,0.730140145,drop
2016,175,F5,0.650788834,drop
2016,180,F5,0.684011328,drop
2016,184,F5,0.719099725,drop
2016,190,F5,0.752287653,drop
2016,203,F5,0.771433072,drop
2016,214,F5,0.756082463,drop
2016,170,F10,0.532044796,drop
2016,180,F10,0.621662189,drop
2016,184,F10,0.686642883,drop
2016,190,F10,0.742197275,drop
2016,195,F10,0.7646907,drop
2016,208,F10,0.751784612,drop
2017,166,CT,0.533627579,drop
2017,177,CT,0.602153348,drop
2017,194,CT,0.704364143,drop
2017,202,CT,0.704364244,drop
2017,212,CT,0.674078588,drop
2017,234,CT,0.663915168,drop
2017,166,F2,0.567893151,drop
2017,185,F2,0.697695125,drop
2017,194,F2,0.728399297,drop
2017,208,F2,0.742990483,drop
2017,212,F2,0.723581312,drop
2017,234,F2,0.682507298,drop
2017,166,F5,0.540856905,drop
2017,177,F5,0.647158143,drop
2017,194,F5,0.727101447,drop
2017,202,F5,0.748246761,drop
2017,212,F5,0.722522954,drop
2017,234,F5,0.662001839,drop
2017,166,F10,0.4385701,drop
2017,185,F10,0.735340333,drop
2017,194,F10,0.781859108,drop
2017,208,F10,0.764259495,drop
2017,212,F10,0.746898336,drop
2017,234,F10,0.665551863,drop
2018,180,CT,0.59293776,drop
2018,202,CT,0.713086919,drop
2018,211,CT,0.742951801,drop
2018,180,F2,0.6552938,drop
2018,202,F2,0.751150414,drop
2018,180,F5,0.623256981,drop
2018,202,F5,0.743730938,drop
2018,180,F10,0.595138202,drop
2018,202,F10,0.764306329,drop
2011,166,CT,0.556208359,initial
2011,166,F2,0.657218845,initial
2011,166,F5,0.607249656,initial
2011,166,F10,0.585689291,initial
2011,172,CT,0.594589888,drop
2011,172,F10,0.687428754,drop
2011,179,CT,0.617816699,drop
2011,179,F2,0.719143569,drop
2011,179,F5,0.71207801,drop
2011,179,F10,0.719373163,drop
2011,183,CT,0.674808946,half
2011,183,F2,0.758407121,peak
2011,183,F5,0.742720899,half
2011,183,F10,0.738641027,half
2011,188,CT,0.659637246,drop
2011,188,F2,0.761923918,drop
2011,188,F5,0.760198227,drop
2011,188,F10,0.776436111,drop
2011,196,CT,0.677967827,drop
2011,196,F10,0.788457551,drop
2011,199,CT,0.711307825,peak
2011,199,F2,0.749423036,drop
2011,199,F5,0.767784844,drop
2011,199,F10,0.815366704,peak
2011,201,CT,0.701301699,drop
2011,201,F2,0.786508993,peak
2011,201,F5,0.773175165,peak
2011,201,F10,0.7823562,drop
2011,214,CT,0.668127888,drop
2011,214,F2,0.755100547,drop
2011,214,F5,0.747810111,drop
2011,214,F10,0.761177303,drop
2011,217,CT,0.671879642,post-peak
2011,217,F2,0.75530373,post-peak
2011,217,F5,0.761188808,post-peak
2011,217,F10,0.719415363,post-peak
