date ,year,region,site,treatment,block,species,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8
7/27/2018,2018,Toolik ,89MAT,CT2,1,moss,18,15,12,8,16,9,6,4
7/27/2018,2018,Toolik ,89MAT,CT2,1,lichen,10,14,13,10,3,2,2,3
7/27/2018,2018,Toolik ,89MAT,CT2,1,litter,10,8,7,6,7,4,6,6
7/27/2018,2018,Toolik ,89MAT,CT2,1,frost boil,0,0,0,0,0,0,0,0
7/27/2018,2018,Toolik ,89MAT,CT2,1,bare,0,0,0,0,0,0,0,0
7/27/2018,2018,Toolik ,89MAT,CT2,1,And pol,0,0,0,0,0,0,0,0
7/27/2018,2018,Toolik ,89MAT,CT2,1,Bet nan,4,6,15,19,6,4,15,14
7/27/2018,2018,Toolik ,89MAT,CT2,1,Car big,0.5,0,4,3,0,7,12,9
7/27/2018,2018,Toolik ,89MAT,CT2,1,Cas tet,5,9,3,2,1,2,0.5,0.5
7/27/2018,2018,Toolik ,89MAT,CT2,1,Emp nig,2,2,2,3,6,5,1,7
7/27/2018,2018,Toolik ,89MAT,CT2,1,Eri vag,18,18,14,15,12,3,2,16
7/27/2018,2018,Toolik ,89MAT,CT2,1,Led pal,18,16,14,21,22,11,7,15
7/27/2018,2018,Toolik ,89MAT,CT2,1,Ped lap,0.5,0,0.5,0,0.5,0,0.5,0
7/27/2018,2018,Toolik ,89MAT,CT2,1,Pol bis,0,0,0,1,0,1,1,0
7/27/2018,2018,Toolik ,89MAT,CT2,1,Rub cha,13,4,7,16,11,18,12,12
7/27/2018,2018,Toolik ,89MAT,CT2,1,Sal pul,0,0,3,10,4,9,11,10
7/27/2018,2018,Toolik ,89MAT,CT2,1,Vac uli,0,0,6,4,1,0,0,0
7/27/2018,2018,Toolik ,89MAT,CT2,1,Vac vit,8,20,14,16,20,26,34,17
7/27/2018,2018,Toolik ,89MAT,CT2,1,St. D. Bet.,0,0,0.5,0,0,0,0,0
drop,,,,,,,,,,,,,,
7/27/2018,2018,Toolik ,89MAT,NP,1,moss,6,4,3,2,0,0.5,1,0
7/27/2018,2018,Toolik ,89MAT,NP,1,lichen,0.5,0.5,1,0.5,0,0.5,0,0
7/27/2018,2018,Toolik ,89MAT,NP,1,litter,3,5,7,9,8,17,8,1
7/27/2018,2018,Toolik ,89MAT,NP,1,frost boil,0,0,0,0,0,0,0,0
7/27/2018,2018,Toolik ,89MAT,NP,1,bare,0,0,0,0,0,0,0,0
7/27/2018,2018,Toolik ,89MAT,NP,1,And pol,0,0,0,0,0,0,0,0
7/27/2018,2018,Toolik ,89MAT,NP,1,Bet nan,3,2,14,5,14,6,33,56
7/27/2018,2018,Toolik ,89MAT,NP,1,Car big,0,0,0,0,0,0,0,0
7/27/2018,2018,Toolik ,89MAT,NP,1,Cas tet,0,0,0,0,0,0,0,0
7/27/2018,2018,Toolik ,89MAT,NP,1,Emp nig,0,0,0,0,0,0,0,0
7/27/2018,2018,Toolik ,89MAT,NP,1,Eri vag,0,0,0,0,0,0,0,0
7/27/2018,2018,Toolik ,89MAT,NP,1,Led pal,0,0,1,0,0,4,2,2
7/27/2018,2018,Toolik ,89MAT,NP,1,Ped lap,0,0,0,0,0,0,0,0
7/27/2018,2018,Toolik ,89MAT,NP,1,Pol bis,0,0,0,0,0,0,0,0
7/27/2018,2018,Toolik ,89MAT,NP,1,Rub cha,28,22,23,60,57,54,32,42
7/27/2018,2018,Toolik ,89MAT,NP,1,Sal pul,0,0,0,0,0,0,0,0
7/27/2018,2018,Toolik ,89MAT,NP,1,Vac uli,0,0,0,0,0,0,0,0
7/27/2018,2018,Toolik ,89MAT,NP,1,Vac vit,0,0,0,0,0,0,0,0
7/27/2018,2018,Toolik ,89MAT,NP,1,St. D. Bet.,32,60,38,30,26,28,11,1
7/27/2018,2018,Toolik ,89MAT,NP,1,Mushrooms,0,0.5,0,0,0,0,0,0
drop,,,,,,,,,,,,,,
7/27/2018,2018,Toolik ,89MAT,CT2,2,moss,21,16,12,12,13,9,14,9
7/27/2018,2018,Toolik ,89MAT,CT2,2,lichen,2,1,6,2,1,0.5,3,6
7/27/2018,2018,Toolik ,89MAT,CT2,2,litter,3,4,3,3,3,11,5,4
7/27/2018,2018,Toolik ,89MAT,CT2,2,frost boil,0,0,0,0,0,0,0,0
7/27/2018,2018,Toolik ,89MAT,CT2,2,bare,0,0,0,0,3,0,0,0
7/27/2018,2018,Toolik ,89MAT,CT2,2,And pol,0,0,0,0,0,0,0.5,0
7/27/2018,2018,Toolik ,89MAT,CT2,2,Bet nan,10,19,8,9,16,31,11,12
7/27/2018,2018,Toolik ,89MAT,CT2,2,Car big,1,1,3,1,1,3,1,2
7/27/2018,2018,Toolik ,89MAT,CT2,2,Cas tet,19,7,15,6,2,0,2,0
7/27/2018,2018,Toolik ,89MAT,CT2,2,Emp nig,0.5,2,13,4,0,1,1,0
7/27/2018,2018,Toolik ,89MAT,CT2,2,Eri vag,5,9,2,14,10,11,13,17
7/27/2018,2018,Toolik ,89MAT,CT2,2,Led pal,16,11,23,14,8,2,0,13
7/27/2018,2018,Toolik ,89MAT,CT2,2,Ped lap,0.5,0.5,2,0.5,0.5,0.5,0.5,0.5
7/27/2018,2018,Toolik ,89MAT,CT2,2,Pol bis,0.5,0,0,0,0,0,1,0
7/27/2018,2018,Toolik ,89MAT,CT2,2,Rub cha,19,27,21,16,17,21,10,3
7/27/2018,2018,Toolik ,89MAT,CT2,2,Sal pul,0,3,11,4,19,9,7,5
7/27/2018,2018,Toolik ,89MAT,CT2,2,Vac uli,0,0,0,0,0,0,0,0
7/27/2018,2018,Toolik ,89MAT,CT2,2,Vac vit,7,6,12,12,5,1,13,15
7/27/2018,2018,Toolik ,89MAT,CT2,2,St. D. Bet.,0.5,0,3,1,0,0,0,0
7/27/2018,2018,Toolik ,89MAT,CT2,2,Mushrooms,0.5,0,0,0,0,0,0,0
drop,,,,,,,,,,,,,,
7/27/2018,2018,Toolik ,89MAT,NP,2,moss,0,0,0,0,0,0,0,0
7/27/2018,2018,Toolik ,89MAT,NP,2,lichen,0,0,0.5,0.5,0,0.5,0.5,0.5
7/27/2018,2018,Toolik ,89MAT,NP,2,litter,2,2,2,9,3,1,1,3
7/27/2018,2018,Toolik ,89MAT,NP,2,frost boil,0,0,0,0,0,0,0,0
7/27/2018,2018,Toolik ,89MAT,NP,2,bare,0,0,0,0,0,0,0,0
7/27/2018,2018,Toolik ,89MAT,NP,2,And pol,0,0,0,0,0,0,0,0
7/27/2018,2018,Toolik ,89MAT,NP,2,Bet nan,11,9,16,21,28,40,38,6
7/27/2018,2018,Toolik ,89MAT,NP,2,Car big,0,0,0,0,0,0,0,0
7/27/2018,2018,Toolik ,89MAT,NP,2,Cas tet,0,0,0,0,0,0,0,0
7/27/2018,2018,Toolik ,89MAT,NP,2,Emp nig,0,0,0,0,0,0,0,0
7/27/2018,2018,Toolik ,89MAT,NP,2,Eri vag,0,0,0,0,0,0,0.5,0
7/27/2018,2018,Toolik ,89MAT,NP,2,Led pal,0,0,0,0,0,0,0,0
7/27/2018,2018,Toolik ,89MAT,NP,2,Ped lap,0,0,0,0,0,0,0,0
7/27/2018,2018,Toolik ,89MAT,NP,2,Pol bis,0,0,0,0,0,0,0,0
7/27/2018,2018,Toolik ,89MAT,NP,2,Rub cha,64,39,47,56,53,84,47,89
7/27/2018,2018,Toolik ,89MAT,NP,2,Sal pul,0,0,0,0,0,0,0,0
7/27/2018,2018,Toolik ,89MAT,NP,2,Vac uli,0,0,0,0,0,0,0,0
7/27/2018,2018,Toolik ,89MAT,NP,2,Vac vit,0,0,0,0,0,0,0,0
7/27/2018,2018,Toolik ,89MAT,NP,2,St. D. Bet.,32,30,36,22,15,11,13,9
drop,,,,,,,,,,,,,,
7/27/2018,2018,Toolik ,89MAT,CT2,3,moss,8,11,14,8,11,5,19,15
7/27/2018,2018,Toolik ,89MAT,CT2,3,lichen,9,5,2,6,9,7,3,12
7/27/2018,2018,Toolik ,89MAT,CT2,3,litter,3,10,5,9,4,4,9,9
7/27/2018,2018,Toolik ,89MAT,CT2,3,frost boil,0,0,0,0,0,0,0,0
7/27/2018,2018,Toolik ,89MAT,CT2,3,bare,0,0,0,2,0,0,0,0
7/27/2018,2018,Toolik ,89MAT,CT2,3,And pol,0,0,0,0,0,0,0,0
7/27/2018,2018,Toolik ,89MAT,CT2,3,Bet nan,12,11,20,19,6,10,20,14
7/27/2018,2018,Toolik ,89MAT,CT2,3,Car big,0.5,0.5,0,0,2,0,0,0
7/27/2018,2018,Toolik ,89MAT,CT2,3,Cas tet,0.5,1,0,2,6,2,4,0.5
7/27/2018,2018,Toolik ,89MAT,CT2,3,Emp nig,1,0,0,2,9,6,4,0.5
7/27/2018,2018,Toolik ,89MAT,CT2,3,Eri vag,7,22,8,20,11,14,24,13
7/27/2018,2018,Toolik ,89MAT,CT2,3,Led pal,20,10,3,12,5,20,13,13
7/27/2018,2018,Toolik ,89MAT,CT2,3,Ped lap,0.5,1,0,0,0.5,0.5,0.5,0
7/27/2018,2018,Toolik ,89MAT,CT2,3,Pol bis,1,0,0,0,0,0,0.5,0
7/27/2018,2018,Toolik ,89MAT,CT2,3,Rub cha,23,22,10,24,22,26,10,4
7/27/2018,2018,Toolik ,89MAT,CT2,3,Sal pul,0,0,7,0,0,0,0,2
7/27/2018,2018,Toolik ,89MAT,CT2,3,Vac uli,0.5,1,0,0.5,13,10,1,1
7/27/2018,2018,Toolik ,89MAT,CT2,3,Vac vit,13,8,12,13,11,18,9,18
7/27/2018,2018,Toolik ,89MAT,CT2,3,St. D. Bet.,0,0,0,0,0,0,7,0
drop,,,,,,,,,,,,,,
7/27/2018,2018,Toolik ,89MAT,NP,3,moss,1,1,0,0,1,0,0,0
7/27/2018,2018,Toolik ,89MAT,NP,3,lichen,0,2,0.5,0.5,0,0.5,0,0.5
7/27/2018,2018,Toolik ,89MAT,NP,3,litter,2,7,4,12,21,8,9,9
7/27/2018,2018,Toolik ,89MAT,NP,3,frost boil,0,0,0,0,0,0,0,0
7/27/2018,2018,Toolik ,89MAT,NP,3,bare,0,0,0,0,0,0,0,0
7/27/2018,2018,Toolik ,89MAT,NP,3,And pol,0,0,0,0,0,0,0,0
7/27/2018,2018,Toolik ,89MAT,NP,3,Bet nan,4,2,2,3,7,9,1,35
7/27/2018,2018,Toolik ,89MAT,NP,3,Car big,0,0,0,0,0,0,0,0
7/27/2018,2018,Toolik ,89MAT,NP,3,Cas tet,0,0,0,0,0,0,0,0
7/27/2018,2018,Toolik ,89MAT,NP,3,Emp nig,0,0,0,0,0,0,0,0
7/27/2018,2018,Toolik ,89MAT,NP,3,Eri vag,0,0.5,0,0,0,0,0,0
7/27/2018,2018,Toolik ,89MAT,NP,3,Led pal,5,0,0,0,0,0,0,0
7/27/2018,2018,Toolik ,89MAT,NP,3,Ped lap,0,0,0,0,0,0,0,0
7/27/2018,2018,Toolik ,89MAT,NP,3,Pol bis,0,0,0,0,0,0,0,0
7/27/2018,2018,Toolik ,89MAT,NP,3,Rub cha,57,32,29,30,55,58,67,64
7/27/2018,2018,Toolik ,89MAT,NP,3,Sal pul,0,0,0,0,0,0,0,0
7/27/2018,2018,Toolik ,89MAT,NP,3,Vac uli,0,0,0,0,0,0,0,0
7/27/2018,2018,Toolik ,89MAT,NP,3,Vac vit,0,0,0,0,0,0,0,0
7/27/2018,2018,Toolik ,89MAT,NP,3,St. D. Bet.,58,40,56,29,40,36,22,27
7/27/2018,2018,Toolik ,89MAT,NP,3,grass,0,0,0,0,0,0,0,0.5
drop,,,,,,,,,,,,,,
7/27/2018,2018,Toolik ,89MAT,CT2,4,moss,13,13,5,12,5,11,9,9
7/27/2018,2018,Toolik ,89MAT,CT2,4,lichen,6,11,4,3,10,12,5,6
7/27/2018,2018,Toolik ,89MAT,CT2,4,litter,7,5,5,4,5,7,8,6
7/27/2018,2018,Toolik ,89MAT,CT2,4,frost boil,0,0,0,0,0,0,0,0
7/27/2018,2018,Toolik ,89MAT,CT2,4,bare,0,0,0,0,0,0,0,0
7/27/2018,2018,Toolik ,89MAT,CT2,4,And pol,0,0,0,0,0,0,0,0.5
7/27/2018,2018,Toolik ,89MAT,CT2,4,Bet nan,7,9,15,22,19,20,22,27
7/27/2018,2018,Toolik ,89MAT,CT2,4,Car big,1,1,2,2,4,2,1,2
7/27/2018,2018,Toolik ,89MAT,CT2,4,Cas tet,9,1,4,1,4,2,3,2
7/27/2018,2018,Toolik ,89MAT,CT2,4,Emp nig,2,13,1,5,2,1,0,1
7/27/2018,2018,Toolik ,89MAT,CT2,4,Eri vag,10,9,13,11,8,22,17,14
7/27/2018,2018,Toolik ,89MAT,CT2,4,Led pal,16,17,26,12,27,13,0.5,6
7/27/2018,2018,Toolik ,89MAT,CT2,4,Ped lap,0.5,0.5,0.5,1,0,0,0.5,0.5
7/27/2018,2018,Toolik ,89MAT,CT2,4,Pol bis,1,0.5,1,0.5,0.5,0.5,0.5,0
7/27/2018,2018,Toolik ,89MAT,CT2,4,Rub cha,11,17,18,23,10,10,9,3
7/27/2018,2018,Toolik ,89MAT,CT2,4,Sal pul,0,0,2,1,1,1,0,0
7/27/2018,2018,Toolik ,89MAT,CT2,4,Vac uli,0,0,0,0,0,0,0,0
7/27/2018,2018,Toolik ,89MAT,CT2,4,Vac vit,11,17,23,18,9,11,20,15
7/27/2018,2018,Toolik ,89MAT,CT2,4,St. D. Bet.,0,0,0,0,0,0,0,0
drop,,,,,,,,,,,,,,
7/27/2018,2018,Toolik ,89MAT,NP,4,moss,0,0,0,0,1,0,1,0
7/27/2018,2018,Toolik ,89MAT,NP,4,lichen,0,1,1,1,4,0.5,0.5,0.5
7/27/2018,2018,Toolik ,89MAT,NP,4,litter,14,12,6,3,7,2,13,10
7/27/2018,2018,Toolik ,89MAT,NP,4,frost boil,0,0,0,0,0,0,0,0
7/27/2018,2018,Toolik ,89MAT,NP,4,bare,0,0,0,0,0,0,0,0
7/27/2018,2018,Toolik ,89MAT,NP,4,And pol,0,0,0,0,0,0,0,0
7/27/2018,2018,Toolik ,89MAT,NP,4,Bet nan,13,25,2,2,11,7,12,26
7/27/2018,2018,Toolik ,89MAT,NP,4,Car big,0,0,0,0,0,0,0,0
7/27/2018,2018,Toolik ,89MAT,NP,4,Cas tet,0,0,0,0,0,0,0,0
7/27/2018,2018,Toolik ,89MAT,NP,4,Emp nig,0,0,0,0,0,0,0,0
7/27/2018,2018,Toolik ,89MAT,NP,4,Eri vag,0,0,0,0,0,0,0,0
7/27/2018,2018,Toolik ,89MAT,NP,4,Led pal,0,0,0,0,0,0,0,0
7/27/2018,2018,Toolik ,89MAT,NP,4,Ped lap,0,0,0,0,0,0,0,0
7/27/2018,2018,Toolik ,89MAT,NP,4,Pol bis,0,0,0,0,0,0,0,0
7/27/2018,2018,Toolik ,89MAT,NP,4,Rub cha,15,26,39,72,34,64,49,20
7/27/2018,2018,Toolik ,89MAT,NP,4,Sal pul,0,0,6,1,6,8,6,0
7/27/2018,2018,Toolik ,89MAT,NP,4,Vac uli,0,0,0,0,0,0,0,0
7/27/2018,2018,Toolik ,89MAT,NP,4,Vac vit,0,0,0,0,0,0,0,0
7/27/2018,2018,Toolik ,89MAT,NP,4,St. D. Bet.,23,52,32,50,39,26,39,20
