"","year","treatment","func.group","avg.site","site.SD"
"1",2018,"CT","Bare ground",0.0306045940833333,0.0208195482669959
"2",2018,"CT","Deciduous shrubs",0.215111687541667,0.0419945418771797
"3",2018,"CT","Evergreen shrubs",0.181192958666667,0.0274417316079948
"4",2018,"CT","Forb",0.0627303217916667,0.0791156062218229
"5",2018,"CT","Grass",0.0701246955416667,0.0503364775395429
"6",2018,"CT","Lichen",0.0334622662083333,0.0192938652892469
"7",2018,"CT","Litter",0.108137126166667,0.0365918822247039
"8",2018,"CT","Moss",0.182265115833333,0.0576357815227634
"9",2018,"CT","Sedge",0.107654882958333,0.0375631976876772
"10",2018,"CT","Standing dead",0.0087163515,0.00776595050780371
"11",2018,"EX","Bare ground",0.019013916875,0.0133596804125251
"12",2018,"EX","Deciduous shrubs",0.310264750125,0.058829890418799
"13",2018,"EX","Evergreen shrubs",0.0893232695,0.0792634549137645
"14",2018,"EX","Forb",0.0534902157083333,0.0729381046213124
"15",2018,"EX","Grass",0.0468286570416667,0.0338226226516165
"16",2018,"EX","Lichen",0.0238465119583333,0.0346578276463571
"17",2018,"EX","Litter",0.163357458416667,0.0830873188418782
"18",2018,"EX","Moss",0.118768463416667,0.038507630047675
"19",2018,"EX","Sedge",0.17009480325,0.0588206914923493
"20",2018,"EX","Standing dead",0,0
"21",2018,"PR","Bare ground",0.0334337470833333,0.0221093300793688
"22",2018,"PR","Deciduous shrubs",0.244934302416667,0.0391158935394613
"23",2018,"PR","Evergreen shrubs",0.147252448541667,0.0804686731591319
"24",2018,"PR","Forb",0.0663768477083333,0.0614108816584946
"25",2018,"PR","Grass",0.0572560271666667,0.0545717031803688
"26",2018,"PR","Lichen",0.023128547875,0.00967835569963507
"27",2018,"PR","Litter",0.102851291958333,0.00676190921392158
"28",2018,"PR","Moss",0.159346940416667,0.105076675009364
"29",2018,"PR","Sedge",0.15339126625,0.0603456724507508
"30",2018,"PR","Standing dead",0.012028580875,0.0181060793916434
"31",2019,"CT","Bare ground",0.00596561791666667,0.00660425395225277
"32",2019,"CT","Deciduous shrubs",0.21335475075,0.00900879052020779
"33",2019,"CT","Evergreen shrubs",0.138948096166667,0.0286663424435421
"34",2019,"CT","Forb",0.04820772525,0.0608081278044136
"35",2019,"CT","Grass",0.0747583187916667,0.0394945701402901
"36",2019,"CT","Lichen",0.0231855240416667,0.00875013797470325
"37",2019,"CT","Litter",0.117653228375,0.0395307264702133
"38",2019,"CT","Moss",0.208330407625,0.0638237472163943
"39",2019,"CT","Sedge",0.129261279416667,0.0386890045606967
"40",2019,"CT","Standing dead",0.0380551223333333,0.0313244876991069
"41",2019,"EX","Bare ground",0.005191465875,0.00899188266126002
"42",2019,"EX","Deciduous shrubs",0.274943357708333,0.0245208468928442
"43",2019,"EX","Evergreen shrubs",0.0760245871666667,0.080052157054455
"44",2019,"EX","Forb",0.0643419000416667,0.0851835495126435
"45",2019,"EX","Grass",0.0615600525,0.0438531720534919
"46",2019,"EX","Lichen",0.0161812341666667,0.0216409172106482
"47",2019,"EX","Litter",0.18455823625,0.0450193770361574
"48",2019,"EX","Moss",0.0926515910416667,0.0223876924294904
"49",2019,"EX","Sedge",0.210496400083333,0.113167683404456
"50",2019,"EX","Standing dead",0.010876257625,0.0104124373491613
"51",2019,"PR","Bare ground",0.009224124875,0.00432877779144557
"52",2019,"PR","Deciduous shrubs",0.229666526958333,0.0383455783521847
"53",2019,"PR","Evergreen shrubs",0.117828565458333,0.0541654924693363
"54",2019,"PR","Forb",0.06398982025,0.0546478185227347
"55",2019,"PR","Grass",0.0694464730416667,0.0696196001969393
"56",2019,"PR","Lichen",0.0134758941666667,0.00881559226198828
"57",2019,"PR","Litter",0.113708189708333,0.0287791548365039
"58",2019,"PR","Moss",0.171138504916667,0.0781894995640452
"59",2019,"PR","Sedge",0.189221584916667,0.101409240526919
"60",2019,"PR","Standing dead",0.01262075375,0.00123677555032044
"61",2019,"PU","Bare ground",0.00682636595833333,0.0059228345970467
"62",2019,"PU","Deciduous shrubs",0.236638058,0.0229285701462344
"63",2019,"PU","Evergreen shrubs",0.134101182625,0.0412699553581627
"64",2019,"PU","Forb",0.051363432,0.041323939789423
"65",2019,"PU","Grass",0.07410405375,0.0780264181011438
"66",2019,"PU","Lichen",0.0169161332916667,0.0130662712355577
"67",2019,"PU","Litter",0.105189963333333,0.030380137707081
"68",2019,"PU","Moss",0.153805656458333,0.0461611487840688
"69",2019,"PU","Sedge",0.195025566291667,0.0255647068004302
"70",2019,"PU","Standing dead",0.0219489163333333,0.0172590744820715
"71",2021,"CT","Bare ground",0.00671885516666667,0.00909520845886875
"72",2021,"CT","Deciduous shrubs",0.20355993375,0.0394971348795473
"73",2021,"CT","Evergreen shrubs",0.131486677041667,0.0488733552311219
"74",2021,"CT","Forb",0.0580986511666667,0.0786903486187175
"75",2021,"CT","Grass",0.0624480206666667,0.0459730973752354
"76",2021,"CT","Lichen",0.0374585667083333,0.0191994173691556
"77",2021,"CT","Litter",0.155427396791667,0.0114213712049053
"78",2021,"CT","Moss",0.172967432041667,0.0626636231879306
"79",2021,"CT","Sedge",0.139005603125,0.065677928253464
"80",2021,"CT","Standing dead",0.030869335625,0.00983194817030097
"81",2021,"EX","Bare ground",0.00141420845833333,0.00244948090232699
"82",2021,"EX","Deciduous shrubs",0.285997413875,0.121804903222539
"83",2021,"EX","Evergreen shrubs",0.055488492125,0.0386361035481014
"84",2021,"EX","Forb",0.0476611671666667,0.0656682760443792
"85",2021,"EX","Grass",0.058927281125,0.0459503849282838
"86",2021,"EX","Lichen",0.0124454032916667,0.0140197018374368
"87",2021,"EX","Litter",0.192741997541667,0.0462950307616793
"88",2021,"EX","Moss",0.118212663958333,0.0850599849901263
"89",2021,"EX","Sedge",0.191489973958333,0.0357079609856626
"90",2021,"EX","Standing dead",0.0315436397083333,0.0186539876505333
"91",2021,"PR","Bare ground",0.0133338258333333,0.0167373350489064
"92",2021,"PR","Deciduous shrubs",0.212021291333333,0.0224750888666603
"93",2021,"PR","Evergreen shrubs",0.095158172875,0.0706536603277373
"94",2021,"PR","Forb",0.0734402858333333,0.076042167749577
"95",2021,"PR","Grass",0.054629230375,0.0567288171234436
"96",2021,"PR","Lichen",0.02282863075,0.0144294997045863
"97",2021,"PR","Litter",0.163247538166667,0.0657016921145111
"98",2021,"PR","Moss",0.147850248958333,0.071378709003178
"99",2021,"PR","Sedge",0.192321403875,0.0570189176236282
"100",2021,"PR","Standing dead",0.0182905609166667,0.00796879980003969
"101",2021,"PU","Bare ground",0.00722599733333333,0.0108174765696796
"102",2021,"PU","Deciduous shrubs",0.235134416583333,0.0228181053653884
"103",2021,"PU","Evergreen shrubs",0.107194771041667,0.0808842636862994
"104",2021,"PU","Forb",0.0534040370416667,0.0249030215854589
"105",2021,"PU","Grass",0.0665142154166667,0.0678020549564606
"106",2021,"PU","Lichen",0.0171026342916667,0.0113748129927521
"107",2021,"PU","Litter",0.139309543916667,0.0289946682978512
"108",2021,"PU","Moss",0.158822351458333,0.078224858547757
"109",2021,"PU","Sedge",0.176789884541667,0.0528108727857595
"110",2021,"PU","Standing dead",0.0305866889166667,0.0158180995282656
